uniprot_accession,signal_peptide,transmembrane,topological_domain,subcellular_location_[cc]
O14746,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:22226966}. Nucleus, nucleoplasm. Nucleus. Chromosome, telomere. Cytoplasm. Nucleus, PML body. Note=Shuttling between nuclear and cytoplasm depends on cell cycle, phosphorylation states, transformation and DNA damage. Diffuse localization in the nucleoplasm. Enriched in nucleoli of certain cell types. Translocated to the cytoplasm via nuclear pores in a CRM1/RAN-dependent manner involving oxidative stress-mediated phosphorylation at Tyr-707. Dephosphorylation at this site by SHP2 retains TERT in the nucleus. Translocated to the nucleus by phosphorylation by AKT."
O14976,,,,"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:10625686}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:10625686}. Cell junction, focal adhesion {ECO:0000305|PubMed:10625686}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:31962345}. Note=Localizes to the perinuclear area and to the trans-Golgi network. Also seen on the plasma membrane, probably at focal adhesions. Recruitment to clathrin-coated vesicles depends on temporal variations in phosphoinositide composition of clathrin-coated vesicles (PubMed:31962345). {ECO:0000269|PubMed:31962345}."
O14980,,,,"SUBCELLULAR LOCATION: Cytoplasm. Nucleus, nucleoplasm. Nucleus, Cajal body. Nucleus, nucleolus. Note=Located in the nucleoplasm, Cajal bodies and nucleoli. Shuttles between the nucleus/nucleolus and the cytoplasm."
O15042,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20858735}.
O15121,,"TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 68..88; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 102..122; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 152..172; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 184..204; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 209..229; /note=""Helical""; /evidence=""ECO:0000255""",,"SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:19647031, ECO:0000269|PubMed:30620338}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:19647031, ECO:0000269|PubMed:30620338, ECO:0000269|PubMed:9188692}; Multi-pass membrane protein {ECO:0000269|PubMed:19647031, ECO:0000269|PubMed:9188692}."
O15144,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079}. Cell projection {ECO:0000269|PubMed:9230079}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q9CVB6}. Nucleus {ECO:0000269|PubMed:29925947}."
O15160,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26151409, ECO:0000269|PubMed:33335104}. Nucleus, nucleolus {ECO:0000269|PubMed:34887565}. Cytoplasm, cytosol {ECO:0000269|PubMed:33335104}."
O15270,,"TRANSMEM 67..87; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P97363}; Single-pass membrane protein {ECO:0000250|UniProtKB:P97363}.
O00159,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22736583}. Nucleus {ECO:0000269|PubMed:22736583}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q9WTI7}. Cell projection, stereocilium membrane {ECO:0000250|UniProtKB:Q92002}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q9WTI7}. Cell projection, ruffle membrane {ECO:0000269|PubMed:34380438}. Note=Colocalizes with CABP1 and CIB1 at cell margin, membrane ruffles and punctate regions on the cell membrane (By similarity). Colocalizes in adipocytes with GLUT4 at actin-based membranes (By similarity). Colocalizes with GLUT4 at insulin-induced ruffles at the cell membrane (By similarity). Localizes transiently at cell membrane to region known to be enriched in PIP2 (By similarity). Activation of phospholipase C results in its redistribution to the cytoplasm (By similarity). Colocalizes with RNA polymerase II (PubMed:22736583). Translocates to nuclear speckles upon exposure to inhibitors of RNA polymerase II transcription (PubMed:22736583). {ECO:0000250|UniProtKB:Q9WTI7, ECO:0000269|PubMed:22736583}.; SUBCELLULAR LOCATION: [Isoform 3]: Nucleus, nucleoplasm {ECO:0000269|PubMed:16133118}. Nucleus, nucleolus {ECO:0000269|PubMed:16133118, ECO:0000269|PubMed:16877530}. Note=Colocalizes with RNA polymerase II in the nucleus (By similarity). Colocalizes with RNA polymerase I in nucleoli (By similarity). In the nucleolus, is localized predominantly in dense fibrillar component (DFC) and in granular component (GC) (PubMed:16133118, PubMed:16877530). Accumulates strongly in DFC and GC during activation of transcription (PubMed:16133118). Colocalizes with transcription sites (By similarity). Colocalizes in the granular cortex at the periphery of the nucleolus with RPS6 (PubMed:16877530). Colocalizes in nucleoplasm with RPS6 and actin that are in contact with RNP particles (PubMed:16877530). Colocalizes with RPS6 at the nuclear pore level (PubMed:16877530). {ECO:0000250|UniProtKB:Q9WTI7, ECO:0000269|PubMed:16133118, ECO:0000269|PubMed:16877530}."
O14939,,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P97813}; Lipid-anchor {ECO:0000250|UniProtKB:P97813}.
O15269,,"TRANSMEM 16..36; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..15; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 37..473; /note=""Cytoplasmic""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21618344}; Single-pass membrane protein {ECO:0000250|UniProtKB:O35704}.
O15297,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28343630, ECO:0000269|PubMed:9177166}. Cytoplasm, cytosol {ECO:0000269|PubMed:28343630}."
O00231,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}."
O14653,,"TRANSMEM 191..211; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""","TOPO_DOM 1..190; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 212; /note=""Vesicular""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:21549339}; Single-pass type IV membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:9349823}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O35165}. Note=Concentrated most in the intermediate compartment/cis-Golgi network and the cis-Golgi cisternae 1 and 2. Greatly reduced in concentration at the trans end of the Golgi apparatus. {ECO:0000250|UniProtKB:O35165}."
O14735,,"TRANSMEM 6..26; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 28..48; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 74..94; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 96..116; /note=""Helical""; /evidence=""ECO:0000305""; TRANSMEM 140..160; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..5; /note=""Cytoplasmic""; /evidence=""ECO:0000305""; TOPO_DOM 27; /note=""Lumenal""; /evidence=""ECO:0000305""; TOPO_DOM 49..73; /note=""Cytoplasmic""; /evidence=""ECO:0000305""; TOPO_DOM 95; /note=""Lumenal""; /evidence=""ECO:0000305""; TOPO_DOM 117..139; /note=""Cytoplasmic""; /evidence=""ECO:0000305""; TOPO_DOM 161..174; /note=""Lumenal""; /evidence=""ECO:0000305""; TOPO_DOM 196..213; /note=""Cytoplasmic""; /evidence=""ECO:0000305""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:8110188}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000305|PubMed:8110188}; Multi-pass membrane protein {ECO:0000255}.
O14920,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20797629}. Nucleus {ECO:0000269|PubMed:20797629}. Membrane raft {ECO:0000269|PubMed:17287217}. Note=Colocalized with DPP4 in membrane rafts. {ECO:0000269|PubMed:17287217}.
O15027,,,,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17005010, ECO:0000269|PubMed:29300766}; Peripheral membrane protein {ECO:0000269|PubMed:17005010}. Golgi apparatus membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:E9QAT4}. Cytoplasm, cytosol {ECO:0000269|PubMed:17428803, ECO:0000269|PubMed:21768384}. Microsome membrane {ECO:0000269|PubMed:17428803}. Note=SAR1A activity is required to maintain SEC16A localization at discrete locations on the ER membrane perhaps by preventing its dissociation (PubMed:17192411). Localizes to endoplasmic reticulum exit sites (ERES), also known as transitional endoplasmic reticulum (tER). MIA3 and LRRK2 are required for its proper localization to ERES (PubMed:17428803, PubMed:19638414, PubMed:22355596, PubMed:25201882, PubMed:28442536). Recruited to microsomal membrane in SAR1-dependent manner (PubMed:17428803). {ECO:0000269|PubMed:17192411, ECO:0000269|PubMed:17428803, ECO:0000269|PubMed:19638414, ECO:0000269|PubMed:22355596, ECO:0000269|PubMed:25201882, ECO:0000269|PubMed:28442536}."
O00267,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10075709}.
O14787,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
B2RTY4,,"TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255""",,"SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:Q9Z1N3}. Synapse {ECO:0000250|UniProtKB:Q8C170}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q8C170}. Note=Localized in the cytoplasm of cell bodies, dendrites and axons with occasional hints of an enrichment near the plasma membrane. Localized at the neuromuscular junction (By similarity). {ECO:0000250|UniProtKB:Q8C170, ECO:0000250|UniProtKB:Q9Z1N3}."
O00410,,,,"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Nucleus, nucleolus. Note=Nucleus; nuclear rim. Found particularly in the nuclear rim and nucleolus."
O14579,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. {ECO:0000250}."
O14733,,,,SUBCELLULAR LOCATION: Nucleus. Cytoplasm {ECO:0000250}.
O00139,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:30785839}. Cytoplasm, cytoskeleton, spindle. Note=Localized to the spindle microtubules and spindle poles from prophase to metaphase. Efficient targeting to spindle microtubules and spindle poles requires the kinase activity of PLK1. Recruited to mitotic spindles by interaction with PSRC1."
O14745,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Apical cell membrane {ECO:0000250}. Endomembrane system; Peripheral membrane protein. Cell projection, filopodium. Cell projection, ruffle. Cell projection, microvillus. Note=Translocates from the cytoplasm to the apical cell membrane in a PODXL-dependent manner. Colocalizes with CFTR at the midpiece of sperm tail (By similarity). Colocalizes with actin in microvilli-rich apical regions of the syncytiotrophoblast. Found in microvilli, ruffling membrane and filopodia of HeLa cells. Present in lipid rafts of T-cells. {ECO:0000250}."
O00499,,,,"SUBCELLULAR LOCATION: [Isoform BIN1]: Nucleus {ECO:0000269|PubMed:8782822}. Cytoplasm {ECO:0000269|PubMed:9182667}. Endosome {ECO:0000250|UniProtKB:O08539}. Cell membrane, sarcolemma, T-tubule {ECO:0000250|UniProtKB:O08839}.; SUBCELLULAR LOCATION: [Isoform IIA]: Cytoplasm {ECO:0000269|PubMed:9182667}."
O00429,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:11514614, ECO:0000269|PubMed:12618434, ECO:0000269|PubMed:9786947}. Golgi apparatus {ECO:0000269|PubMed:20688057, ECO:0000269|PubMed:9348079, ECO:0000269|PubMed:9570752}. Endomembrane system {ECO:0000269|PubMed:11514614, ECO:0000269|PubMed:9348079, ECO:0000269|PubMed:9472031, ECO:0000269|PubMed:9570752}; Peripheral membrane protein. Mitochondrion outer membrane {ECO:0000269|PubMed:26122121, ECO:0000269|PubMed:27145208, ECO:0000269|PubMed:27145933, ECO:0000269|PubMed:28969390}; Peripheral membrane protein. Peroxisome {ECO:0000269|PubMed:12499366, ECO:0000269|PubMed:12618434}. Membrane, clathrin-coated pit {ECO:0000250|UniProtKB:O35303}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:O35303}. Note=Mainly cytosolic. Recruited by RALA and RALBP1 to mitochondrion during mitosis (PubMed:21822277). Translocated to the mitochondrial membrane through O-GlcNAcylation and interaction with FIS1. Colocalized with MARCHF5 at mitochondrial membrane (PubMed:17606867). Localizes to mitochondria at sites of division (PubMed:15208300). Localizes to mitochondria following necrosis induction. Recruited to the mitochondrial outer membrane by interaction with MIEF1. Mitochondrial recruitment is inhibited by C11orf65/MFI (By similarity). Associated with peroxisomal membranes, partly recruited there by PEX11B. May also be associated with endoplasmic reticulum tubules and cytoplasmic vesicles and found to be perinuclear (PubMed:9422767, PubMed:9570752). In some cell types, localizes to the Golgi complex (By similarity). Binds to phospholipid membranes (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q8K1M6, ECO:0000269|PubMed:15208300, ECO:0000269|PubMed:17606867, ECO:0000269|PubMed:21822277, ECO:0000269|PubMed:9422767, ECO:0000269|PubMed:9570752}."
A0A6Q8PGB0,,,,SUBCELLULAR LOCATION: Chromosome {ECO:0000256|ARBA:ARBA00004286}. Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.
A7E2S9,,,,
H3BPG6,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
O15318,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20154270, ECO:0000269|PubMed:21898682, ECO:0000269|PubMed:33335104}. Cytoplasm {ECO:0000250|UniProtKB:Q6NXY9}. Note=Excluded from nucleoli (PubMed:21898682). In zygotes and the 2-cell stage embryos, mainly in the cytoplasm. Starts to localize to the nucleus in the 8-16 cell stage embryo and early blastocysts (By similarity). {ECO:0000250|UniProtKB:Q6NXY9, ECO:0000269|PubMed:21898682}."
O15370,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:9215677}."
O15488,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P13280}. Nucleus {ECO:0000250|UniProtKB:P13280}. Note=Localizes to glycogen granules (glycosomes) in the cytoplasm (By similarity). Cytosolic localization is dependent on the actin cytoskeleton (By similarity). {ECO:0000250|UniProtKB:C4R941, ECO:0000250|UniProtKB:P13280}."
O43237,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305|PubMed:36071160}."
O43808,,"TRANSMEM 10..30; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 67..87; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 105..125; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 161..181; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 203..223; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 281..301; /note=""Helical; Name=6""; /evidence=""ECO:0000255""","TOPO_DOM 1..9; /note=""Cytoplasmic""; TOPO_DOM 31..66; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 88..104; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 126..160; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 182..202; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 224..280; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 302..307; /note=""Cytoplasmic""","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14709540}. Peroxisome membrane {ECO:0000269|PubMed:11121399, ECO:0000269|PubMed:11402059, ECO:0000269|PubMed:14709540, ECO:0000269|PubMed:9874197}; Multi-pass membrane protein {ECO:0000255}."
O43826,,"TRANSMEM 12..33; /note=""Helical; Name=1""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 50..70; /note=""Helical; Name=2""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 78..96; /note=""Helical; Name=3""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 102..118; /note=""Helical; Name=4""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 139..159; /note=""Helical; Name=5""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 169..187; /note=""Helical; Name=6""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 226..247; /note=""Helical; Name=7""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 266..283; /note=""Helical; Name=8""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 302..320; /note=""Helical; Name=9""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 329..349; /note=""Helical; Name=10""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 367..384; /note=""Helical; Name=11""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TRANSMEM 395..414; /note=""Helical; Name=12""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""","TOPO_DOM 1..11; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 34..49; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 71..77; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 97..101; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 119..138; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 160..168; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 188..225; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 248..265; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 284..301; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 321..328; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 350..366; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 385..394; /note=""Lumenal""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""; TOPO_DOM 415..429; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:41136424, ECO:0000269|PubMed:41225049, ECO:0007744|PDB:9KUY, ECO:0007744|PDB:9KV0, ECO:0007744|PDB:9KVV, ECO:0007744|PDB:9W1N, ECO:0007744|PDB:9W1O, ECO:0007744|PDB:9W1P, ECO:0007744|PDB:9W1Q, ECO:0007744|PDB:9W1R""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21949678, ECO:0000269|PubMed:32884905, ECO:0000269|PubMed:33964207}; Multi-pass membrane protein {ECO:0000255}."
